amount,post_acc,post_alpha_rho,post_cols_zero,post_isolated,post_loss,post_rows_zero,post_sparsity,pre_acc,pre_alpha_rho,pre_cols_zero,pre_isolated,pre_loss,pre_rows_zero,pre_sparsity,seed,strategy
0.8,0.790625,1.682360291481018,51,0,0.47531571596860883,0,0.800048828125,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,structured_in
0.1,0.78765625,2.3073019981384277,0,0,0.433375446498394,6,0.10791015625,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,structured_out
0.2,0.77625,2.2020089626312256,0,0,0.46822064369916916,13,0.215576171875,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,structured_out
0.3,0.7609375,1.9837501049041748,0,0,0.5106229558587074,19,0.307861328125,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,structured_out
0.5,0.7921875,2.1965231895446777,0,0,0.46088426738977434,32,0.5078125,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,structured_out
0.8,0.68140625,0.9279966354370117,0,0,0.5956158843636513,51,0.800048828125,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,structured_out
0.1,0.734375,2.260164260864258,7,7,0.687972611784935,9,0.39990234375,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,movement
0.2,0.734375,2.260164260864258,7,7,0.687972611784935,9,0.39990234375,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,movement
0.3,0.734375,2.260164260864258,7,7,0.687972611784935,9,0.39990234375,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,movement
0.5,0.70125,2.168492078781128,8,8,0.5165765759348869,10,0.5,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,movement
0.8,0.81875,2.085085868835449,20,19,0.43160750567913053,19,0.7998046875,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,movement
0.1,0.8184375,3.0030605792999268,0,0,0.4953783340752125,0,0.10009765625,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,imp
0.2,0.8259375,3.042635917663574,0,0,0.4046044674515724,0,0.2001953125,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,imp
0.3,0.82546875,2.853734254837036,0,0,0.3866268889605999,0,0.300048828125,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,imp
0.5,0.806875,3.010450839996338,0,0,0.4349713806807995,0,0.5,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,imp
0.8,0.82375,2.744379997253418,0,0,0.3922639226913452,0,0.7998046875,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,imp
