seed,strategy,amount,pre_loss,pre_acc,post_loss,post_acc,pre_sparsity,post_sparsity,pre_alpha_rho,post_alpha_rho,pre_rows_zero,pre_cols_zero,pre_isolated,post_rows_zero,post_cols_zero,post_isolated,runtime_s
0,random_neuron,0.3,0.46167195290327073,0.7896875,0.4161021965742111,0.81875,0.015625,0.5166015625,3.3099608421325684,3.5600898265838623,0,0,0,19,19,19,4.95
1,random_neuron,0.3,0.4109236843883991,0.806875,0.4113353110849857,0.8134375,0.015625,0.5166015625,2.0945370197296143,2.8773348331451416,0,0,0,19,19,19,4.94
2,random_neuron,0.3,0.4961835527420044,0.7740625,0.40705573558807373,0.81578125,0.015625,0.5166015625,2.7215025424957275,2.9505088329315186,0,0,0,19,19,19,4.89
3,random_neuron,0.3,0.4250813999772072,0.81640625,0.3795749081671238,0.81921875,0.015625,0.5166015625,2.022836446762085,2.332059383392334,0,0,0,19,19,19,4.81
4,random_neuron,0.3,0.5293479910492898,0.73734375,0.3911776635050774,0.81515625,0.015625,0.5166015625,3.240307331085205,2.578317880630493,0,0,0,19,19,19,4.78
0,random_neuron,0.4,0.46167195290327073,0.7896875,0.49518624842166903,0.7746875,0.015625,0.65673828125,3.3099608421325684,2.6464591026306152,0,0,0,26,26,26,4.87
1,random_neuron,0.4,0.4109236843883991,0.806875,0.38495193168520925,0.80859375,0.015625,0.65673828125,2.0945370197296143,3.1430187225341797,0,0,0,26,26,26,4.94
2,random_neuron,0.4,0.4961835527420044,0.7740625,0.45396539747715,0.805,0.015625,0.65673828125,2.7215025424957275,2.767810106277466,0,0,0,26,26,26,4.94
3,random_neuron,0.4,0.4250813999772072,0.81640625,0.4170698833465576,0.80921875,0.015625,0.65673828125,2.022836446762085,2.5102005004882812,0,0,0,26,26,26,5.0
4,random_neuron,0.4,0.5293479910492898,0.73734375,0.4170085150003433,0.8178125,0.015625,0.65673828125,3.240307331085205,2.4372782707214355,0,0,0,26,26,26,4.95
0,random_neuron,0.5,0.46167195290327073,0.7896875,0.4336778908967972,0.80453125,0.015625,0.7578125,3.3099608421325684,2.629718065261841,0,0,0,32,32,32,5.0
1,random_neuron,0.5,0.4109236843883991,0.806875,0.4011276963353157,0.81421875,0.015625,0.7578125,2.0945370197296143,2.827882766723633,0,0,0,32,32,32,5.14
2,random_neuron,0.5,0.4961835527420044,0.7740625,0.4441799169778824,0.78546875,0.015625,0.7578125,2.7215025424957275,2.3030710220336914,0,0,0,32,32,32,5.12
3,random_neuron,0.5,0.4250813999772072,0.81640625,0.4728560134768486,0.80453125,0.015625,0.7578125,2.022836446762085,2.578258991241455,0,0,0,32,32,32,4.81
4,random_neuron,0.5,0.5293479910492898,0.73734375,0.43556122213602066,0.80515625,0.015625,0.7578125,3.240307331085205,2.393131732940674,0,0,0,32,32,32,4.85
0,random_neuron,0.6,0.46167195290327073,0.7896875,0.4793668469786644,0.78765625,0.015625,0.84130859375,3.3099608421325684,2.4262185096740723,0,0,0,38,38,38,4.74
1,random_neuron,0.6,0.4109236843883991,0.806875,0.4095278073847294,0.8025,0.015625,0.84130859375,2.0945370197296143,2.7762184143066406,0,0,0,38,38,38,4.75
2,random_neuron,0.6,0.4961835527420044,0.7740625,0.38214812517166136,0.81921875,0.015625,0.84130859375,2.7215025424957275,2.3217053413391113,0,0,0,38,38,38,4.74
3,random_neuron,0.6,0.4250813999772072,0.81640625,0.4649437639117241,0.78484375,0.015625,0.84130859375,2.022836446762085,2.6576876640319824,0,0,0,38,38,38,4.77
4,random_neuron,0.6,0.5293479910492898,0.73734375,0.4069979736208916,0.81609375,0.015625,0.84130859375,3.240307331085205,2.310014486312866,0,0,0,38,38,38,4.77
